Day,Date,New Visitor,Returning Visitor
Saturday,12/28/2019,3259,2363
Sunday,12/29/2019,3606,2440
Monday,12/30/2019,4961,3611
Tuesday,12/31/2019,3670,3016
Wednesday,1/1/2020,3378,3013
Thursday,1/2/2020,5139,4369
Friday,1/3/2020,4584,3590
Saturday,1/4/2020,4645,2551
Sunday,1/5/2020,3739,2739
Monday,1/6/2020,5710,5022
Tuesday,1/7/2020,5793,4996
Wednesday,1/8/2020,5760,5026
Thursday,1/9/2020,5603,4979
Friday,1/10/2020,5863,5122
Saturday,1/11/2020,4480,3337
Sunday,1/12/2020,4466,4028
Monday,1/13/2020,6041,6939
Tuesday,1/14/2020,6472,7251
Wednesday,1/15/2020,6418,7407
Thursday,1/16/2020,6191,6484
Friday,1/17/2020,4816,5345
Saturday,1/18/2020,5425,3055
Sunday,1/19/2020,3944,3268
Monday,1/20/2020,4462,4384
Tuesday,1/21/2020,5431,6173
Wednesday,1/22/2020,5702,6253
Thursday,1/23/2020,5024,5632
Friday,1/24/2020,4880,5072
Saturday,1/25/2020,4275,3004
Sunday,1/26/2020,3734,3516
Monday,1/27/2020,5128,6008
Tuesday,1/28/2020,6025,6376
Wednesday,1/29/2020,5374,6105
Thursday,1/30/2020,6063,6100
Friday,1/31/2020,6057,5740
Saturday,2/1/2020,4451,3308
Sunday,2/2/2020,3430,3140
Monday,2/3/2020,5191,6239
Tuesday,2/4/2020,5012,6117
Wednesday,2/5/2020,6209,6444
Thursday,2/6/2020,5702,5956
Friday,2/7/2020,4789,4906
Saturday,2/8/2020,4808,2951
Sunday,2/9/2020,4155,3871
Monday,2/10/2020,5729,7053
